source	target	weight
komun	parêzgeha	4.077537
komun	îtalyayê	4.770685
komun	şaredariyeke	4.077537
komun	şaredariyên	4.770685
parêzgeha	îtalyayê	4.077537
parêzgeha	şaredariyeke	3.384390
parêzgeha	şaredariyên	4.077537
îtalyayê	şaredariyeke	4.077537
îtalyayê	şaredariyên	4.770685
şaredariyeke	şaredariyên	4.077537
jdb	output	4.770685
jdb	parser	4.770685
jdb	paşa	4.770685
jdb	the	4.770685
output	parser	4.770685
output	paşa	4.770685
output	the	4.770685
parser	paşa	4.770685
parser	the	4.770685
paşa	the	4.770685
ji	jî	4.077537
ji	ku	4.077537
ji	mirov	4.077537
ji	xwe	2.978925
jî	ku	4.770685
jî	mirov	4.770685
jî	xwe	3.672072
ku	mirov	4.770685
ku	xwe	3.672072
mirov	xwe	3.672072
bûm	ez	3.384390
bûm	me	4.770685
bûm	min	2.824774
bûm	te	2.824774
ez	me	3.384390
ez	min	2.131627
ez	te	2.131627
me	min	2.824774
me	te	2.824774
min	te	0.878864
kurd	kurdistanê	4.077537
kurd	kurdî	4.770685
kurd	kurmancî	4.770685
kurd	zimanê	3.672072
kurdistanê	kurdî	4.077537
kurdistanê	kurmancî	4.077537
kurdistanê	zimanê	2.978925
kurdî	kurmancî	4.770685
kurdî	zimanê	3.672072
kurmancî	zimanê	3.672072
almanyayê	bavyera	4.770685
almanyayê	landkreis	4.770685
almanyayê	navçeya	3.384390
almanyayê	şaredariyeke	4.077537
bavyera	landkreis	4.770685
bavyera	navçeya	3.384390
bavyera	şaredariyeke	4.077537
landkreis	navçeya	3.384390
landkreis	şaredariyeke	4.077537
navçeya	şaredariyeke	2.691243
girêdayî	gund	4.077537
girêdayî	gundekî	4.077537
girêdayî	navçeya	3.384390
girêdayî	ser	4.770685
gund	gundekî	3.384390
gund	navçeya	2.691243
gund	ser	4.077537
gundekî	navçeya	3.384390
gundekî	ser	4.077537
navçeya	ser	3.384390
ziman	zimanekî	4.770685
ziman	zimanê	3.672072
ziman	zimanên	4.770685
ziman	zimanî	4.770685
zimanekî	zimanê	3.672072
zimanekî	zimanên	4.770685
zimanekî	zimanî	4.770685
zimanê	zimanên	3.672072
zimanê	zimanî	3.672072
zimanên	zimanî	4.770685
min	pirtûk	2.824774
min	pirtûka	2.824774
min	pirtûkê	2.824774
min	pirtûkên	2.824774
pirtûk	pirtûka	4.770685
pirtûk	pirtûkê	4.770685
pirtûk	pirtûkên	4.770685
pirtûka	pirtûkê	4.770685
pirtûka	pirtûkên	4.770685
pirtûkê	pirtûkên	4.770685
azerbaycana	bajarê	4.077537
azerbaycana	navenda	4.770685
azerbaycana	rojhilat	4.770685
azerbaycana	îranê	4.770685
bajarê	navenda	4.077537
bajarê	rojhilat	4.077537
bajarê	îranê	4.077537
navenda	rojhilat	4.770685
navenda	îranê	4.770685
rojhilat	îranê	4.770685
bo	ew	3.672072
bo	ji	4.077537
bo	re	3.672072
bo	wê	3.672072
ew	ji	2.978925
ew	re	2.573460
ew	wê	2.573460
ji	re	2.978925
ji	wê	2.978925
re	wê	2.573460
bûye	dayik	4.770685
bûye	de	3.384390
bûye	di	3.672072
bûye	sala	2.978925
dayik	de	3.384390
dayik	di	3.672072
dayik	sala	2.978925
de	di	3.384390
de	sala	2.978925
di	sala	2.978925
