source	target	weight
komun	parêzgeha	4.770685
komun	îtalyayê	4.770685
komun	şaredariyeke	4.770685
komun	şaredariyên	4.770685
parêzgeha	îtalyayê	4.770685
parêzgeha	şaredariyeke	4.770685
parêzgeha	şaredariyên	4.770685
îtalyayê	şaredariyeke	4.770685
îtalyayê	şaredariyên	4.770685
şaredariyeke	şaredariyên	4.770685
jdb	output	4.770685
jdb	parser	4.770685
jdb	paşa	4.770685
jdb	the	4.770685
output	parser	4.770685
output	paşa	4.770685
output	the	4.770685
parser	paşa	4.770685
parser	the	4.770685
paşa	the	4.770685
ji	jî	4.770685
ji	ku	4.770685
ji	mirov	4.770685
ji	xwe	4.770685
jî	ku	4.770685
jî	mirov	4.770685
jî	xwe	4.770685
ku	mirov	4.770685
ku	xwe	4.770685
mirov	xwe	4.770685
bûm	ez	4.770685
bûm	me	4.770685
bûm	min	4.770685
bûm	te	4.770685
ez	me	4.770685
ez	min	8.155075
ez	te	8.155075
me	min	4.770685
me	te	4.770685
min	te	4.770685
kurd	kurdistanê	4.770685
kurd	kurdî	4.770685
kurd	kurmancî	4.770685
kurd	zimanê	4.770685
kurdistanê	kurdî	4.770685
kurdistanê	kurmancî	4.770685
kurdistanê	zimanê	4.770685
kurdî	kurmancî	4.770685
kurdî	zimanê	4.770685
kurmancî	zimanê	4.770685
almanyayê	bavyera	4.770685
almanyayê	landkreis	4.770685
almanyayê	navçeya	4.770685
almanyayê	şaredariyeke	4.770685
bavyera	landkreis	4.770685
bavyera	navçeya	4.770685
bavyera	şaredariyeke	4.770685
landkreis	navçeya	4.770685
landkreis	şaredariyeke	4.770685
navçeya	şaredariyeke	4.770685
girêdayî	gund	4.770685
girêdayî	gundekî	4.770685
girêdayî	navçeya	4.770685
girêdayî	ser	4.770685
gund	gundekî	4.770685
gund	navçeya	4.770685
gund	ser	4.770685
gundekî	navçeya	8.155075
gundekî	ser	4.770685
navçeya	ser	4.770685
ziman	zimanekî	4.770685
ziman	zimanê	4.770685
ziman	zimanên	4.770685
ziman	zimanî	4.770685
zimanekî	zimanê	4.770685
zimanekî	zimanên	4.770685
zimanekî	zimanî	4.770685
zimanê	zimanên	4.770685
zimanê	zimanî	4.770685
zimanên	zimanî	4.770685
min	pirtûk	4.770685
min	pirtûka	4.770685
min	pirtûkê	4.770685
min	pirtûkên	4.770685
pirtûk	pirtûka	4.770685
pirtûk	pirtûkê	4.770685
pirtûk	pirtûkên	4.770685
pirtûka	pirtûkê	4.770685
pirtûka	pirtûkên	4.770685
pirtûkê	pirtûkên	4.770685
azerbaycana	bajarê	4.770685
azerbaycana	navenda	4.770685
azerbaycana	rojhilat	4.770685
azerbaycana	îranê	4.770685
bajarê	navenda	4.770685
bajarê	rojhilat	4.770685
bajarê	îranê	4.770685
navenda	rojhilat	4.770685
navenda	îranê	4.770685
rojhilat	îranê	4.770685
bo	ew	4.770685
bo	ji	4.770685
bo	re	4.770685
bo	wê	4.770685
ew	ji	4.770685
ew	re	4.770685
ew	wê	4.770685
ji	re	4.770685
ji	wê	4.770685
re	wê	4.770685
bûye	dayik	4.770685
bûye	de	4.770685
bûye	di	4.770685
bûye	sala	4.770685
dayik	de	4.770685
dayik	di	4.770685
dayik	sala	4.770685
de	di	11.016217
de	sala	13.537561
di	sala	11.016217
hey	te	4.770685
hey	tune	4.770685
hey	wan	4.770685
hey	wey	4.770685
te	tune	4.770685
te	wan	4.770685
te	wey	4.770685
tune	wan	4.770685
tune	wey	4.770685
wan	wey	4.770685
bavê	malbata	4.770685
bavê	min	4.770685
bavê	pîrê	4.770685
bavê	wî	4.770685
malbata	min	4.770685
malbata	pîrê	4.770685
malbata	wî	4.770685
min	pîrê	4.770685
min	wî	4.770685
pîrê	wî	4.770685
dikî	hûn	4.770685
dikî	te	4.770685
dikî	tu	4.770685
dikî	xwe	4.770685
hûn	te	8.155075
hûn	tu	8.155075
hûn	xwe	4.770685
te	tu	11.016217
te	xwe	4.770685
