source	target	weight
komun	parêzgeha	3.906891
komun	îtalyayê	3.906891
komun	şaredariyeke	2.906891
komun	şaredariyên	3.906891
parêzgeha	îtalyayê	3.906891
parêzgeha	şaredariyeke	2.906891
parêzgeha	şaredariyên	3.906891
îtalyayê	şaredariyeke	2.906891
îtalyayê	şaredariyên	3.906891
şaredariyeke	şaredariyên	2.906891
jdb	output	3.906891
jdb	parser	3.906891
jdb	paşa	3.906891
jdb	the	3.906891
output	parser	3.906891
output	paşa	3.906891
output	the	3.906891
parser	paşa	3.906891
parser	the	3.906891
paşa	the	3.906891
ji	jî	2.906891
ji	ku	2.906891
ji	mirov	2.906891
ji	xwe	1.906891
jî	ku	3.906891
jî	mirov	3.906891
jî	xwe	2.906891
ku	mirov	3.906891
ku	xwe	2.906891
mirov	xwe	2.906891
bûm	ez	3.906891
bûm	me	3.906891
bûm	min	2.321928
bûm	te	2.321928
ez	me	3.906891
ez	min	2.321928
ez	te	2.321928
me	min	2.321928
me	te	2.321928
min	te	0.736966
kurd	kurdistanê	3.906891
kurd	kurdî	3.906891
kurd	kurmancî	3.906891
kurd	zimanê	2.906891
kurdistanê	kurdî	3.906891
kurdistanê	kurmancî	3.906891
kurdistanê	zimanê	2.906891
kurdî	kurmancî	3.906891
kurdî	zimanê	2.906891
kurmancî	zimanê	2.906891
almanyayê	bavyera	3.906891
almanyayê	landkreis	3.906891
almanyayê	navçeya	2.906891
almanyayê	şaredariyeke	2.906891
bavyera	landkreis	3.906891
bavyera	navçeya	2.906891
bavyera	şaredariyeke	2.906891
landkreis	navçeya	2.906891
landkreis	şaredariyeke	2.906891
navçeya	şaredariyeke	1.906891
girêdayî	gund	3.906891
girêdayî	gundekî	3.906891
girêdayî	navçeya	2.906891
girêdayî	ser	3.906891
gund	gundekî	3.906891
gund	navçeya	2.906891
gund	ser	3.906891
gundekî	navçeya	2.906891
gundekî	ser	3.906891
navçeya	ser	2.906891
ziman	zimanekî	3.906891
ziman	zimanê	2.906891
ziman	zimanên	3.906891
ziman	zimanî	3.906891
zimanekî	zimanê	2.906891
zimanekî	zimanên	3.906891
zimanekî	zimanî	3.906891
zimanê	zimanên	2.906891
zimanê	zimanî	2.906891
zimanên	zimanî	3.906891
min	pirtûk	2.321928
min	pirtûka	2.321928
min	pirtûkê	2.321928
min	pirtûkên	2.321928
pirtûk	pirtûka	3.906891
pirtûk	pirtûkê	3.906891
pirtûk	pirtûkên	3.906891
pirtûka	pirtûkê	3.906891
pirtûka	pirtûkên	3.906891
pirtûkê	pirtûkên	3.906891
azerbaycana	bajarê	3.906891
azerbaycana	navenda	3.906891
azerbaycana	rojhilat	3.906891
azerbaycana	îranê	3.906891
bajarê	navenda	3.906891
bajarê	rojhilat	3.906891
bajarê	îranê	3.906891
navenda	rojhilat	3.906891
navenda	îranê	3.906891
rojhilat	îranê	3.906891
bo	ew	3.906891
bo	ji	2.906891
bo	re	3.906891
bo	wê	3.906891
ew	ji	2.906891
ew	re	3.906891
ew	wê	3.906891
ji	re	2.906891
ji	wê	2.906891
re	wê	3.906891
bûye	dayik	3.906891
bûye	de	3.906891
bûye	di	3.906891
bûye	sala	3.906891
dayik	de	3.906891
dayik	di	3.906891
dayik	sala	3.906891
de	di	3.906891
de	sala	3.906891
di	sala	3.906891
hey	te	2.321928
hey	tune	3.906891
hey	wan	3.906891
hey	wey	3.906891
te	tune	2.321928
te	wan	2.321928
te	wey	2.321928
tune	wan	3.906891
tune	wey	3.906891
wan	wey	3.906891
bavê	malbata	3.906891
bavê	min	2.321928
bavê	pîrê	3.906891
bavê	wî	3.906891
malbata	min	2.321928
malbata	pîrê	3.906891
malbata	wî	3.906891
min	pîrê	2.321928
min	wî	2.321928
pîrê	wî	3.906891
dikî	hûn	3.906891
dikî	te	2.321928
dikî	tu	3.906891
dikî	xwe	2.906891
hûn	te	2.321928
hûn	tu	3.906891
hûn	xwe	2.906891
te	tu	2.321928
te	xwe	1.321928
tu	xwe	2.906891
