source	target	weight
komun	parêzgeha	2.708050
komun	îtalyayê	2.708050
komun	şaredariyeke	2.708050
komun	şaredariyên	2.708050
parêzgeha	îtalyayê	2.708050
parêzgeha	şaredariyeke	2.708050
parêzgeha	şaredariyên	2.708050
îtalyayê	şaredariyeke	2.708050
îtalyayê	şaredariyên	2.708050
şaredariyeke	şaredariyên	2.708050
jdb	output	2.708050
jdb	parser	2.708050
jdb	paşa	2.708050
jdb	the	2.708050
output	parser	2.708050
output	paşa	2.708050
output	the	2.708050
parser	paşa	2.708050
parser	the	2.708050
paşa	the	2.708050
ji	jî	2.708050
ji	ku	2.708050
ji	mirov	2.708050
ji	xwe	2.708050
jî	ku	2.708050
jî	mirov	2.708050
jî	xwe	2.708050
ku	mirov	2.708050
ku	xwe	2.708050
mirov	xwe	2.708050
bûm	ez	2.708050
bûm	me	2.708050
bûm	min	2.708050
bûm	te	2.708050
ez	me	2.708050
ez	min	2.708050
ez	te	2.708050
me	min	2.708050
me	te	2.708050
min	te	2.708050
kurd	kurdistanê	2.708050
kurd	kurdî	2.708050
kurd	kurmancî	2.708050
kurd	zimanê	2.708050
kurdistanê	kurdî	2.708050
kurdistanê	kurmancî	2.708050
kurdistanê	zimanê	2.708050
kurdî	kurmancî	2.708050
kurdî	zimanê	2.708050
kurmancî	zimanê	2.708050
almanyayê	bavyera	2.708050
almanyayê	landkreis	2.708050
almanyayê	navçeya	2.708050
almanyayê	şaredariyeke	2.708050
bavyera	landkreis	2.708050
bavyera	navçeya	2.708050
bavyera	şaredariyeke	2.708050
landkreis	navçeya	2.708050
landkreis	şaredariyeke	2.708050
navçeya	şaredariyeke	2.708050
girêdayî	gund	2.708050
girêdayî	gundekî	2.708050
girêdayî	navçeya	2.708050
girêdayî	ser	2.708050
gund	gundekî	2.708050
gund	navçeya	2.708050
gund	ser	2.708050
gundekî	navçeya	2.708050
gundekî	ser	2.708050
navçeya	ser	2.708050
ziman	zimanekî	2.708050
ziman	zimanê	2.708050
ziman	zimanên	2.708050
ziman	zimanî	2.708050
zimanekî	zimanê	2.708050
zimanekî	zimanên	2.708050
zimanekî	zimanî	2.708050
zimanê	zimanên	2.708050
zimanê	zimanî	2.708050
zimanên	zimanî	2.708050
min	pirtûk	2.708050
min	pirtûka	2.708050
min	pirtûkê	2.708050
min	pirtûkên	2.708050
pirtûk	pirtûka	2.708050
pirtûk	pirtûkê	2.708050
pirtûk	pirtûkên	2.708050
pirtûka	pirtûkê	2.708050
pirtûka	pirtûkên	2.708050
pirtûkê	pirtûkên	2.708050
azerbaycana	bajarê	2.708050
azerbaycana	navenda	2.708050
azerbaycana	rojhilat	2.708050
azerbaycana	îranê	2.708050
bajarê	navenda	2.708050
bajarê	rojhilat	2.708050
bajarê	îranê	2.708050
navenda	rojhilat	2.708050
navenda	îranê	2.708050
rojhilat	îranê	2.708050
bo	ew	2.708050
bo	ji	2.708050
bo	re	2.708050
bo	wê	2.708050
ew	ji	2.708050
ew	re	2.708050
ew	wê	2.708050
ji	re	2.708050
ji	wê	2.708050
re	wê	2.708050
bûye	dayik	2.708050
bûye	de	2.708050
bûye	di	2.708050
bûye	sala	2.708050
dayik	de	2.708050
dayik	di	2.708050
dayik	sala	2.708050
de	di	2.708050
de	sala	2.708050
di	sala	2.708050
hey	te	2.708050
hey	tune	2.708050
hey	wan	2.708050
hey	wey	2.708050
te	tune	2.708050
te	wan	2.708050
te	wey	2.708050
tune	wan	2.708050
tune	wey	2.708050
wan	wey	2.708050
bavê	malbata	2.708050
bavê	min	2.708050
bavê	pîrê	2.708050
bavê	wî	2.708050
malbata	min	2.708050
malbata	pîrê	2.708050
malbata	wî	2.708050
min	pîrê	2.708050
min	wî	2.708050
pîrê	wî	2.708050
dikî	hûn	2.708050
dikî	te	2.708050
dikî	tu	2.708050
dikî	xwe	2.708050
hûn	te	2.708050
hûn	tu	2.708050
hûn	xwe	2.708050
te	tu	2.708050
te	xwe	2.708050
tu	xwe	2.708050
