source	target	weight
cinîyan	ke	3.473518
cinîyan	kurdan	4.166665
cinîyan	yê	4.166665
cinîyan	zî	3.473518
ke	kurdan	4.166665
ke	yê	3.473518
ke	zî	3.473518
kurdan	yê	4.166665
kurdan	zî	4.166665
yê	zî	3.473518
ez	ma	3.761200
ez	mi	3.473518
ez	to	2.557227
ez	xo	3.473518
ma	mi	3.068053
ma	to	2.151762
ma	xo	3.068053
mi	to	2.557227
mi	xo	2.780371
to	xo	2.557227
cinîyan	hêrişê	4.166665
cinîyan	tirke	4.166665
cinîyan	vera	4.166665
hêrişê	tirke	4.859812
hêrişê	vera	4.859812
hêrişê	yê	4.166665
tirke	vera	4.859812
tirke	yê	4.166665
vera	yê	4.166665
000	amardışê	4.859812
000	hezar	4.859812
000	nefero	4.859812
000	peyêni	4.859812
amardışê	hezar	4.859812
amardışê	nefero	4.859812
amardışê	peyêni	4.859812
hezar	nefero	4.859812
hezar	peyêni	4.859812
nefero	peyêni	4.859812
diagrami	gorey	3.761200
diagrami	grafikê	3.761200
diagrami	nıfusê	4.166665
diagrami	sero	4.166665
gorey	grafikê	3.761200
gorey	nıfusê	3.761200
gorey	sero	3.761200
grafikê	nıfusê	3.761200
grafikê	sero	3.761200
nıfusê	sero	4.859812
elmanya	hunermend	4.859812
elmanya	nahiyeyê	4.859812
elmanya	sar	4.859812
elmanya	zazaki	4.859812
hunermend	nahiyeyê	4.859812
hunermend	sar	4.859812
hunermend	zazaki	4.859812
nahiyeyê	sar	4.859812
nahiyeyê	zazaki	4.859812
sar	zazaki	4.859812
biyo	de	3.473518
biyo	keşıf	2.780371
biyo	ra	3.473518
biyo	terefê	2.780371
de	keşıf	3.473518
de	ra	4.859812
de	terefê	3.473518
keşıf	ra	3.473518
keşıf	terefê	3.473518
ra	terefê	3.473518
ez	nêkenê	4.166665
ez	nêzana	4.166665
ma	nêkenê	3.761200
ma	nêzana	3.761200
mi	nêkenê	3.473518
mi	nêzana	3.473518
nêkenê	nêzana	4.859812
awe	kanalizasyoni	4.166665
awe	ratneyao	4.859812
awe	sistemê	4.859812
awe	şebekey	4.166665
kanalizasyoni	ratneyao	4.166665
kanalizasyoni	sistemê	4.166665
kanalizasyoni	şebekey	4.166665
ratneyao	sistemê	4.859812
ratneyao	şebekey	4.166665
sistemê	şebekey	4.166665
cısım	estareyanê	3.761200
cısım	katalogê	3.761200
cısım	komê	3.761200
cısım	neweyê	3.761200
estareyanê	katalogê	3.761200
estareyanê	komê	4.166665
estareyanê	neweyê	3.761200
katalogê	komê	3.761200
katalogê	neweyê	3.761200
komê	neweyê	3.761200
975	stanbul	4.859812
975	tirkî	4.859812
975	tirkîya	4.859812
975	îstanbul	4.859812
stanbul	tirkî	4.859812
stanbul	tirkîya	4.859812
stanbul	îstanbul	4.859812
tirkî	tirkîya	4.859812
tirkî	îstanbul	4.859812
tirkîya	îstanbul	4.859812
james	john	4.166665
james	philadelphia	4.859812
james	pittsburgh	4.859812
james	william	4.166665
john	philadelphia	4.166665
john	pittsburgh	4.166665
john	william	4.166665
philadelphia	pittsburgh	4.859812
philadelphia	william	4.166665
pittsburgh	william	4.166665
cısım	gêno	1.969441
cısım	pêroyi	3.761200
gêno	katalogê	1.969441
gêno	neweyê	1.969441
gêno	pêroyi	3.068053
katalogê	pêroyi	3.761200
neweyê	pêroyi	3.761200
abdullah	kurdî	4.859812
abdullah	kurdîstanî	4.859812
abdullah	rayberê	4.859812
abdullah	şarê	4.166665
kurdî	kurdîstanî	4.859812
kurdî	rayberê	4.859812
kurdî	şarê	4.166665
kurdîstanî	rayberê	4.859812
kurdîstanî	şarê	4.166665
rayberê	şarê	4.166665
anciyao	elektrik	3.761200
anciyao	internet	3.068053
anciyao	kanalizasyoni	3.068053
anciyao	şebekey	3.068053
elektrik	internet	4.166665
elektrik	kanalizasyoni	4.166665
elektrik	şebekey	4.166665
internet	kanalizasyoni	3.473518
internet	şebekey	3.473518
hîrê	rayîrê	4.859812
hîrê	tesîrê	4.859812
hîrê	vîrê	4.859812
hîrê	wayîrê	4.859812
rayîrê	tesîrê	4.859812
