source	target	weight
cinîyan	ke	4.859812
cinîyan	kurdan	4.859812
cinîyan	yê	8.333330
cinîyan	zî	4.859812
ke	kurdan	4.859812
ke	yê	4.859812
ke	zî	4.859812
kurdan	yê	4.859812
kurdan	zî	4.859812
yê	zî	4.859812
ez	ma	8.333330
ez	mi	8.333330
ez	to	4.859812
ez	xo	4.859812
ma	mi	8.333330
ma	to	4.859812
ma	xo	4.859812
mi	to	8.333330
mi	xo	4.859812
to	xo	4.859812
cinîyan	hêrişê	4.859812
cinîyan	tirke	4.859812
cinîyan	vera	4.859812
hêrişê	tirke	4.859812
hêrişê	vera	4.859812
hêrişê	yê	4.859812
tirke	vera	4.859812
tirke	yê	4.859812
vera	yê	4.859812
000	amardışê	4.859812
000	hezar	4.859812
000	nefero	4.859812
000	peyêni	4.859812
amardışê	hezar	4.859812
amardışê	nefero	4.859812
amardışê	peyêni	4.859812
hezar	nefero	4.859812
hezar	peyêni	4.859812
nefero	peyêni	4.859812
diagrami	gorey	8.333330
diagrami	grafikê	8.333330
diagrami	nıfusê	4.859812
diagrami	sero	4.859812
gorey	grafikê	11.283600
gorey	nıfusê	4.859812
gorey	sero	4.859812
grafikê	nıfusê	4.859812
grafikê	sero	4.859812
nıfusê	sero	4.859812
elmanya	hunermend	4.859812
elmanya	nahiyeyê	4.859812
elmanya	sar	4.859812
elmanya	zazaki	4.859812
hunermend	nahiyeyê	4.859812
hunermend	sar	4.859812
hunermend	zazaki	4.859812
nahiyeyê	sar	4.859812
nahiyeyê	zazaki	4.859812
sar	zazaki	4.859812
biyo	de	4.859812
biyo	keşıf	8.333330
biyo	ra	4.859812
biyo	terefê	8.333330
de	keşıf	4.859812
de	ra	4.859812
de	terefê	4.859812
keşıf	ra	4.859812
keşıf	terefê	13.894072
ra	terefê	4.859812
ez	nêkenê	4.859812
ez	nêzana	4.859812
ma	nêkenê	4.859812
ma	nêzana	4.859812
mi	nêkenê	4.859812
mi	nêzana	4.859812
