source	target	weight
komun	parêzgeha	5.882643
komun	îtalyayê	6.882643
komun	şaredariyeke	5.882643
komun	şaredariyên	6.882643
parêzgeha	îtalyayê	5.882643
parêzgeha	şaredariyeke	4.882643
parêzgeha	şaredariyên	5.882643
îtalyayê	şaredariyeke	5.882643
îtalyayê	şaredariyên	6.882643
şaredariyeke	şaredariyên	5.882643
jdb	output	6.882643
jdb	parser	6.882643
jdb	paşa	6.882643
jdb	the	6.882643
output	parser	6.882643
output	paşa	6.882643
output	the	6.882643
parser	paşa	6.882643
parser	the	6.882643
paşa	the	6.882643
ji	jî	5.882643
ji	ku	5.882643
ji	mirov	5.882643
ji	xwe	4.297681
jî	ku	6.882643
jî	mirov	6.882643
jî	xwe	5.297681
ku	mirov	6.882643
ku	xwe	5.297681
mirov	xwe	5.297681
bûm	ez	4.882643
bûm	me	6.882643
bûm	min	4.075288
bûm	te	4.075288
ez	me	4.882643
ez	min	3.075288
ez	te	3.075288
me	min	4.075288
me	te	4.075288
min	te	1.267933
kurd	kurdistanê	5.882643
kurd	kurdî	6.882643
kurd	kurmancî	6.882643
kurd	zimanê	5.297681
kurdistanê	kurdî	5.882643
kurdistanê	kurmancî	5.882643
kurdistanê	zimanê	4.297681
kurdî	kurmancî	6.882643
kurdî	zimanê	5.297681
kurmancî	zimanê	5.297681
almanyayê	bavyera	6.882643
almanyayê	landkreis	6.882643
almanyayê	navçeya	4.882643
almanyayê	şaredariyeke	5.882643
bavyera	landkreis	6.882643
bavyera	navçeya	4.882643
bavyera	şaredariyeke	5.882643
landkreis	navçeya	4.882643
landkreis	şaredariyeke	5.882643
navçeya	şaredariyeke	3.882643
girêdayî	gund	5.882643
girêdayî	gundekî	5.882643
girêdayî	navçeya	4.882643
girêdayî	ser	6.882643
gund	gundekî	4.882643
gund	navçeya	3.882643
gund	ser	5.882643
gundekî	navçeya	4.882643
gundekî	ser	5.882643
navçeya	ser	4.882643
ziman	zimanekî	6.882643
ziman	zimanê	5.297681
ziman	zimanên	6.882643
ziman	zimanî	6.882643
zimanekî	zimanê	5.297681
zimanekî	zimanên	6.882643
zimanekî	zimanî	6.882643
zimanê	zimanên	5.297681
zimanê	zimanî	5.297681
zimanên	zimanî	6.882643
min	pirtûk	4.075288
min	pirtûka	4.075288
min	pirtûkê	4.075288
min	pirtûkên	4.075288
pirtûk	pirtûka	6.882643
pirtûk	pirtûkê	6.882643
pirtûk	pirtûkên	6.882643
pirtûka	pirtûkê	6.882643
pirtûka	pirtûkên	6.882643
pirtûkê	pirtûkên	6.882643
azerbaycana	bajarê	5.882643
azerbaycana	navenda	6.882643
azerbaycana	rojhilat	6.882643
azerbaycana	îranê	6.882643
bajarê	navenda	5.882643
bajarê	rojhilat	5.882643
bajarê	îranê	5.882643
navenda	rojhilat	6.882643
navenda	îranê	6.882643
rojhilat	îranê	6.882643
bo	ew	5.297681
bo	ji	5.882643
bo	re	5.297681
bo	wê	5.297681
ew	ji	4.297681
ew	re	3.712718
ew	wê	3.712718
ji	re	4.297681
ji	wê	4.297681
re	wê	3.712718
bûye	dayik	6.882643
bûye	de	4.882643
bûye	di	5.297681
bûye	sala	4.297681
dayik	de	4.882643
dayik	di	5.297681
dayik	sala	4.297681
de	di	4.882643
de	sala	4.297681
di	sala	4.297681
hey	te	4.075288
hey	tune	6.882643
hey	wan	6.882643
hey	wey	6.882643
te	tune	4.075288
te	wan	4.075288
te	wey	4.075288
tune	wan	6.882643
tune	wey	6.882643
wan	wey	6.882643
bavê	malbata	6.882643
bavê	min	4.075288
bavê	pîrê	6.882643
bavê	wî	5.297681
malbata	min	4.075288
malbata	pîrê	6.882643
malbata	wî	5.297681
min	pîrê	4.075288
min	wî	2.490326
pîrê	wî	5.297681
dikî	hûn	5.882643
dikî	te	4.075288
dikî	tu	4.560715
dikî	xwe	5.297681
hûn	te	4.075288
hûn	tu	4.560715
hûn	xwe	4.297681
te	tu	3.338323
te	xwe	2.490326
tu	xwe	2.975752
bidin	bikin	6.882643
bidin	diçin	6.882643
bidin	em	6.882643
bidin	we	6.882643
bikin	diçin	6.882643
bikin	em	6.882643
bikin	we	6.882643
diçin	em	6.882643
diçin	we	6.882643
em	we	6.882643
bilindahiya	cm	6.882643
bilindahiya	km	6.882643
bilindahiya	km2	6.882643
bilindahiya	metre	6.882643
cm	km	6.882643
cm	km2	6.882643
cm	metre	6.882643
km	km2	6.882643
km	metre	6.882643
km2	metre	6.882643
bourgogne	comté	6.882643
bourgogne	franche	6.882643
bourgogne	rojhilatê	6.882643
bourgogne	saône	6.882643
comté	franche	6.882643
comté	rojhilatê	6.882643
comté	saône	6.882643
franche	rojhilatê	6.882643
franche	saône	6.882643
rojhilatê	saône	6.882643
amara	gund	5.882643
amara	malbat	6.882643
amara	nifûsa	6.882643
amara	serjimêriya	6.882643
gund	malbat	5.882643
gund	nifûsa	5.882643
gund	serjimêriya	5.882643
malbat	nifûsa	6.882643
malbat	serjimêriya	6.882643
nifûsa	serjimêriya	6.882643
bostonê	maryê	6.882643
bostonê	min	4.075288
bostonê	tom	6.882643
bostonê	tomî	6.882643
maryê	min	4.075288
maryê	tom	6.882643
maryê	tomî	6.882643
min	tom	4.075288
min	tomî	4.075288
tom	tomî	6.882643
dah	heft	6.882643
dah	hene	5.882643
dah	pê	6.882643
dah	pênc	6.882643
heft	hene	5.882643
heft	pê	6.882643
heft	pênc	6.882643
hene	pê	5.882643
hene	pênc	5.882643
pê	pênc	6.882643
cristata	famîleya	6.882643
cristata	galerida	6.882643
cristata	gazella	6.882643
cristata	genus	6.882643
famîleya	galerida	6.882643
famîleya	gazella	6.882643
famîleya	genus	6.882643
galerida	gazella	6.882643
galerida	genus	6.882643
gazella	genus	6.882643
mamoste	xwendekar	6.882643
mamoste	xwendekaran	6.882643
mamoste	xwendina	6.882643
mamoste	xwendinê	6.882643
xwendekar	xwendekaran	6.882643
xwendekar	xwendina	6.882643
xwendekar	xwendinê	6.882643
xwendekaran	xwendina	6.882643
xwendekaran	xwendinê	6.882643
xwendina	xwendinê	6.882643
av	avê	6.882643
av	meriv	6.882643
av	merivan	6.882643
av	nava	6.882643
avê	meriv	6.882643
avê	merivan	6.882643
avê	nava	6.882643
meriv	merivan	6.882643
meriv	nava	6.882643
merivan	nava	6.882643
atp	elektronan	6.882643
atp	enerjiya	6.882643
atp	enerjiyê	6.882643
atp	molekulên	6.882643
elektronan	enerjiya	6.882643
elektronan	enerjiyê	6.882643
elektronan	molekulên	6.882643
enerjiya	enerjiyê	6.882643
enerjiya	molekulên	6.882643
enerjiyê	molekulên	6.882643
amerîkayê	dîtina	6.882643
amerîkayê	korsîkaya	6.882643
amerîkayê	korsîkayê	6.882643
amerîkayê	muzîka	6.882643
dîtina	korsîkaya	6.882643
dîtina	korsîkayê	6.882643
dîtina	muzîka	6.882643
korsîkaya	korsîkayê	6.882643
korsîkaya	muzîka	6.882643
korsîkayê	muzîka	6.882643
ez	nakim	4.882643
ez	naxwazim	4.882643
ez	nikarim	4.882643
min	nakim	4.075288
min	naxwazim	4.075288
min	nikarim	4.075288
nakim	naxwazim	6.882643
nakim	nikarim	6.882643
naxwazim	nikarim	6.882643
kî	te	4.075288
kî	tu	4.560715
kî	yî	6.882643
kî	çi	6.882643
te	yî	4.075288
te	çi	4.075288
tu	yî	4.560715
tu	çi	4.560715
yî	çi	6.882643
ev	nav	5.882643
ev	nayê	6.882643
ev	ne	5.882643
ev	nîne	6.882643
nav	nayê	5.882643
nav	ne	4.882643
nav	nîne	5.882643
nayê	ne	5.882643
nayê	nîne	6.882643
ne	nîne	5.882643
başûrê	garonne	5.882643
başûrê	oksîtanyaya	5.882643
başûrê	oksîtanyayê	5.882643
başûrê	rojavayê	4.297681
garonne	oksîtanyaya	6.882643
garonne	oksîtanyayê	6.882643
garonne	rojavayê	5.297681
oksîtanyaya	oksîtanyayê	6.882643
oksîtanyaya	rojavayê	5.297681
oksîtanyayê	rojavayê	5.297681
calais	franceyê	6.882643
calais	hauts	6.882643
calais	pas	6.882643
calais	sommeya	6.882643
franceyê	hauts	6.882643
franceyê	pas	6.882643
franceyê	sommeya	6.882643
hauts	pas	6.882643
hauts	sommeya	6.882643
pas	sommeya	6.882643
fîlma	fîlman	6.882643
fîlma	fîlmê	6.882643
fîlma	fîlmên	6.882643
fîlma	rola	6.882643
fîlman	fîlmê	6.882643
fîlman	fîlmên	6.882643
fîlman	rola	6.882643
fîlmê	fîlmên	6.882643
fîlmê	rola	6.882643
fîlmên	rola	6.882643
hûn	nake	5.882643
hûn	ne	4.882643
nake	ne	5.882643
nake	te	4.075288
nake	tu	4.560715
ne	te	3.075288
ne	tu	3.560715
dev	dibêjin	6.882643
dev	jê	6.882643
dev	jêr	6.882643
dev	re	5.297681
dibêjin	jê	6.882643
dibêjin	jêr	6.882643
dibêjin	re	5.297681
jê	jêr	6.882643
jê	re	5.297681
jêr	re	5.297681
estê	grand	4.882643
estê	meurthe	5.297681
estê	meuse	5.297681
estê	rojhilata	5.297681
grand	meurthe	4.882643
grand	meuse	4.882643
grand	rojhilata	4.882643
meurthe	meuse	6.882643
meurthe	rojhilata	5.882643
meuse	rojhilata	5.882643
alpes	alpesê	6.882643
alpes	auvergne	6.882643
alpes	provence	6.882643
alpes	rhône	6.882643
alpesê	auvergne	6.882643
alpesê	provence	6.882643
alpesê	rhône	6.882643
auvergne	provence	6.882643
auvergne	rhône	6.882643
provence	rhône	6.882643
veşêre	şêr	6.882643
veşêre	şêrko	6.882643
veşêre	şêrê	6.882643
veşêre	şêx	6.882643
şêr	şêrko	6.882643
şêr	şêrê	6.882643
şêr	şêx	6.882643
şêrko	şêrê	6.882643
şêrko	şêx	6.882643
şêrê	şêx	6.882643
dijî	hêzên	6.882643
dijî	yê	6.882643
dijî	şerê	5.882643
dijî	şerên	6.882643
hêzên	yê	6.882643
hêzên	şerê	5.882643
hêzên	şerên	6.882643
yê	şerê	5.882643
yê	şerên	6.882643
şerê	şerên	5.882643
1920	de	4.882643
1920	heya	6.882643
1920	sala	4.297681
1920	şerê	5.882643
de	heya	4.882643
de	şerê	3.882643
heya	sala	4.297681
heya	şerê	5.882643
sala	şerê	3.297681
bû	pişta	6.882643
bû	qetiyaye	6.882643
bû	wî	5.297681
bû	xwe	5.297681
pişta	qetiyaye	6.882643
pişta	wî	5.297681
pişta	xwe	5.297681
qetiyaye	wî	5.297681
qetiyaye	xwe	5.297681
wî	xwe	3.712718
dike	dilê	5.882643
dike	ew	5.297681
dike	heyranê	6.882643
dike	wî	5.297681
dilê	ew	4.297681
dilê	heyranê	5.882643
dilê	wî	4.297681
ew	heyranê	5.297681
ew	wî	3.712718
heyranê	wî	5.297681
2021an	2022an	6.882643
2021an	de	4.882643
2021an	di	5.297681
2021an	sala	4.297681
2022an	de	4.882643
2022an	di	5.297681
2022an	sala	4.297681
de	salên	4.882643
de	zengî	4.882643
di	salên	5.297681
di	zengî	5.297681
sala	salên	4.297681
sala	zengî	4.297681
salên	zengî	6.882643
başûrê	hewlêrê	5.882643
başûrê	kurdistanê	4.882643
başûrê	navçeya	3.882643
başûrê	parêzgeha	4.882643
hewlêrê	kurdistanê	5.882643
hewlêrê	navçeya	4.882643
hewlêrê	parêzgeha	5.882643
kurdistanê	navçeya	3.882643
kurdistanê	parêzgeha	4.882643
navçeya	parêzgeha	3.882643
reng	rengekî	6.882643
reng	rengê	6.882643
reng	rengên	6.882643
reng	rengîn	6.882643
rengekî	rengê	6.882643
rengekî	rengên	6.882643
rengekî	rengîn	6.882643
rengê	rengên	6.882643
rengê	rengîn	6.882643
rengên	rengîn	6.882643
demokrat	partiya	6.882643
demokrat	partiyê	6.882643
demokrat	sala	4.297681
demokrat	siyasî	6.882643
partiya	partiyê	6.882643
partiya	sala	4.297681
partiya	siyasî	6.882643
partiyê	sala	4.297681
partiyê	siyasî	6.882643
sala	siyasî	4.297681
calvados	departemeta	6.882643
calvados	eureyê	6.882643
calvados	normandiya	6.882643
calvados	normandîyê	6.882643
departemeta	eureyê	6.882643
departemeta	normandiya	6.882643
departemeta	normandîyê	6.882643
eureyê	normandiya	6.882643
eureyê	normandîyê	6.882643
normandiya	normandîyê	6.882643
caran	gelek	6.882643
caran	hene	5.882643
caran	hestî	6.882643
caran	xelatên	6.882643
gelek	hene	5.882643
gelek	hestî	6.882643
gelek	xelatên	6.882643
hene	hestî	5.882643
hene	xelatên	5.882643
hestî	xelatên	6.882643
rûsya	rûsyayê	6.882643
rûsya	rûsî	6.882643
rûsya	sovyet	6.882643
rûsya	ukraynayê	6.882643
rûsyayê	rûsî	6.882643
rûsyayê	sovyet	6.882643
rûsyayê	ukraynayê	6.882643
rûsî	sovyet	6.882643
rûsî	ukraynayê	6.882643
sovyet	ukraynayê	6.882643
evîn	havîn	6.882643
evîn	navîn	6.882643
evîn	payîz	6.882643
evîn	payîzê	6.882643
havîn	navîn	6.882643
havîn	payîz	6.882643
havîn	payîzê	6.882643
navîn	payîz	6.882643
navîn	payîzê	6.882643
payîz	payîzê	6.882643
re	zarok	5.297681
re	zarokan	5.297681
re	zarokê	5.297681
re	zarokên	4.297681
zarok	zarokan	6.882643
zarok	zarokê	6.882643
zarok	zarokên	5.882643
zarokan	zarokê	6.882643
zarokan	zarokên	5.882643
zarokê	zarokên	5.882643
bajarî	daneyên	6.882643
bajarî	digehêje	6.882643
bajarî	kesî	6.882643
bajarî	niştecihên	6.882643
daneyên	digehêje	6.882643
daneyên	kesî	6.882643
daneyên	niştecihên	6.882643
digehêje	kesî	6.882643
digehêje	niştecihên	6.882643
kesî	niştecihên	6.882643
bakurê	departmena	5.297681
bakurê	komuneke	5.297681
bakurê	marne	4.297681
bakurê	oisa	5.297681
departmena	komuneke	5.882643
departmena	marne	4.882643
departmena	oisa	5.882643
komuneke	marne	5.882643
komuneke	oisa	6.882643
marne	oisa	5.882643
00	roj	6.882643
00	rojan	6.882643
00	saet	6.882643
00	tu	4.560715
roj	rojan	6.882643
roj	saet	6.882643
roj	tu	4.560715
rojan	saet	6.882643
rojan	tu	4.560715
saet	tu	4.560715
hemoglobînê	nav	5.882643
hemoglobînê	xwîn	6.882643
hemoglobînê	xwîna	6.882643
hemoglobînê	xwînê	6.882643
nav	xwîn	5.882643
nav	xwîna	5.882643
nav	xwînê	5.882643
xwîn	xwîna	6.882643
xwîn	xwînê	6.882643
xwîna	xwînê	6.882643
aquitaine	charente	5.297681
aquitaine	landes	5.297681
aquitaine	nouvelle	5.297681
aquitaine	rojavayê	4.712718
charente	landes	6.882643
charente	nouvelle	5.297681
charente	rojavayê	5.297681
landes	nouvelle	5.297681
landes	rojavayê	5.297681
nouvelle	rojavayê	4.712718
biderengî	birçî	6.882643
biderengî	demeke	6.882643
biderengî	nêz	6.882643
biderengî	şîva	6.882643
birçî	demeke	6.882643
birçî	nêz	6.882643
birçî	şîva	6.882643
demeke	nêz	6.882643
demeke	şîva	6.882643
nêz	şîva	6.882643
herî	mezin	5.882643
herî	mezine	5.882643
herî	mezintir	5.882643
herî	zilma	5.882643
mezin	mezine	5.882643
mezin	mezintir	5.882643
mezin	zilma	5.882643
mezine	mezintir	6.882643
mezine	zilma	6.882643
mezintir	zilma	6.882643
dayîk	muzîkê	6.882643
dayîk	pisîk	6.882643
dayîk	pisîkên	6.882643
dayîk	würzburg	6.882643
muzîkê	pisîk	6.882643
muzîkê	pisîkên	6.882643
muzîkê	würzburg	6.882643
pisîk	pisîkên	6.882643
pisîk	würzburg	6.882643
pisîkên	würzburg	6.882643
ajotiye	bike	6.882643
ajotiye	coupé	6.882643
ajotiye	min	4.075288
ajotiye	otobus	6.882643
bike	coupé	6.882643
bike	min	4.075288
bike	otobus	6.882643
coupé	min	4.075288
coupé	otobus	6.882643
min	otobus	4.075288
dertêm	ez	4.882643
dertêm	herim	6.882643
dertêm	mala	6.882643
dertêm	malê	6.882643
ez	herim	4.882643
ez	mala	4.882643
ez	malê	4.882643
herim	mala	6.882643
herim	malê	6.882643
mala	malê	6.882643
goştê	serdeştê	6.882643
goştê	taştê	6.882643
goştê	tiştê	6.882643
goştê	şaristana	6.882643
serdeştê	taştê	6.882643
