source	target	weight
cinîyan	ke	5.011227
cinîyan	kurdan	6.011227
cinîyan	yê	6.011227
cinîyan	zî	5.011227
ke	kurdan	6.011227
ke	yê	5.011227
ke	zî	5.011227
kurdan	yê	6.011227
kurdan	zî	6.011227
yê	zî	5.011227
ez	ma	5.426265
ez	mi	5.011227
ez	to	3.689299
ez	xo	5.011227
ma	mi	4.426265
ma	to	3.104337
ma	xo	4.426265
mi	to	3.689299
mi	xo	4.011227
to	xo	3.689299
cinîyan	hêrişê	6.011227
cinîyan	tirke	6.011227
cinîyan	vera	6.011227
hêrişê	tirke	7.011227
hêrişê	vera	7.011227
hêrişê	yê	6.011227
tirke	vera	7.011227
tirke	yê	6.011227
vera	yê	6.011227
000	amardışê	7.011227
000	hezar	7.011227
000	nefero	7.011227
000	peyêni	7.011227
amardışê	hezar	7.011227
amardışê	nefero	7.011227
amardışê	peyêni	7.011227
hezar	nefero	7.011227
hezar	peyêni	7.011227
nefero	peyêni	7.011227
diagrami	gorey	5.426265
diagrami	grafikê	5.426265
diagrami	nıfusê	6.011227
diagrami	sero	6.011227
gorey	grafikê	5.426265
gorey	nıfusê	5.426265
gorey	sero	5.426265
grafikê	nıfusê	5.426265
grafikê	sero	5.426265
nıfusê	sero	7.011227
elmanya	hunermend	7.011227
elmanya	nahiyeyê	7.011227
elmanya	sar	7.011227
elmanya	zazaki	7.011227
hunermend	nahiyeyê	7.011227
hunermend	sar	7.011227
hunermend	zazaki	7.011227
nahiyeyê	sar	7.011227
nahiyeyê	zazaki	7.011227
sar	zazaki	7.011227
biyo	de	5.011227
biyo	keşıf	4.011227
biyo	ra	5.011227
biyo	terefê	4.011227
de	keşıf	5.011227
de	ra	7.011227
de	terefê	5.011227
keşıf	ra	5.011227
keşıf	terefê	5.011227
ra	terefê	5.011227
ez	nêkenê	6.011227
ez	nêzana	6.011227
ma	nêkenê	5.426265
ma	nêzana	5.426265
mi	nêkenê	5.011227
mi	nêzana	5.011227
nêkenê	nêzana	7.011227
awe	kanalizasyoni	6.011227
awe	ratneyao	7.011227
awe	sistemê	7.011227
awe	şebekey	6.011227
kanalizasyoni	ratneyao	6.011227
kanalizasyoni	sistemê	6.011227
kanalizasyoni	şebekey	6.011227
ratneyao	sistemê	7.011227
ratneyao	şebekey	6.011227
sistemê	şebekey	6.011227
cısım	estareyanê	5.426265
cısım	katalogê	5.426265
cısım	komê	5.426265
cısım	neweyê	5.426265
estareyanê	katalogê	5.426265
estareyanê	komê	6.011227
estareyanê	neweyê	5.426265
katalogê	komê	5.426265
katalogê	neweyê	5.426265
komê	neweyê	5.426265
975	stanbul	7.011227
975	tirkî	7.011227
975	tirkîya	7.011227
975	îstanbul	7.011227
stanbul	tirkî	7.011227
stanbul	tirkîya	7.011227
stanbul	îstanbul	7.011227
tirkî	tirkîya	7.011227
tirkî	îstanbul	7.011227
tirkîya	îstanbul	7.011227
james	john	6.011227
james	philadelphia	7.011227
james	pittsburgh	7.011227
james	william	6.011227
john	philadelphia	6.011227
john	pittsburgh	6.011227
john	william	6.011227
philadelphia	pittsburgh	7.011227
philadelphia	william	6.011227
pittsburgh	william	6.011227
cısım	gêno	2.841302
cısım	pêroyi	5.426265
gêno	katalogê	2.841302
gêno	neweyê	2.841302
gêno	pêroyi	4.426265
katalogê	pêroyi	5.426265
neweyê	pêroyi	5.426265
abdullah	kurdî	7.011227
abdullah	kurdîstanî	7.011227
abdullah	rayberê	7.011227
abdullah	şarê	6.011227
kurdî	kurdîstanî	7.011227
kurdî	rayberê	7.011227
kurdî	şarê	6.011227
kurdîstanî	rayberê	7.011227
kurdîstanî	şarê	6.011227
rayberê	şarê	6.011227
anciyao	elektrik	5.426265
anciyao	internet	4.426265
anciyao	kanalizasyoni	4.426265
anciyao	şebekey	4.426265
elektrik	internet	6.011227
elektrik	kanalizasyoni	6.011227
elektrik	şebekey	6.011227
internet	kanalizasyoni	5.011227
internet	şebekey	5.011227
hîrê	rayîrê	7.011227
hîrê	tesîrê	7.011227
hîrê	vîrê	7.011227
hîrê	wayîrê	7.011227
rayîrê	tesîrê	7.011227
rayîrê	vîrê	7.011227
rayîrê	wayîrê	7.011227
tesîrê	vîrê	7.011227
tesîrê	wayîrê	7.011227
vîrê	wayîrê	7.011227
wina	şaran	7.011227
wina	şaro	7.011227
wina	şarê	6.011227
wina	şarî	7.011227
şaran	şaro	7.011227
şaran	şarê	6.011227
şaran	şarî	7.011227
şaro	şarê	6.011227
şaro	şarî	7.011227
şarê	şarî	6.011227
amorphoscelis	boiss	7.011227
amorphoscelis	dianthus	7.011227
amorphoscelis	euphorbia	7.011227
amorphoscelis	var	7.011227
boiss	dianthus	7.011227
boiss	euphorbia	7.011227
boiss	var	7.011227
dianthus	euphorbia	7.011227
dianthus	var	7.011227
euphorbia	var	7.011227
fransız	ilan	7.011227
fransız	serra	6.011227
fransız	tebaxe	7.011227
fransız	tışrino	6.011227
ilan	serra	6.011227
ilan	tebaxe	7.011227
ilan	tışrino	6.011227
serra	tebaxe	6.011227
serra	tışrino	5.011227
tebaxe	tışrino	6.011227
filmê	fîlmê	7.011227
filmê	kay	7.011227
filmê	sinema	7.011227
filmê	têatro	7.011227
fîlmê	kay	7.011227
fîlmê	sinema	7.011227
fîlmê	têatro	7.011227
kay	sinema	7.011227
kay	têatro	7.011227
sinema	têatro	7.011227
dormey	gênê	6.011227
dormey	komunê	3.841302
dormey	saint	5.426265
dormey	sur	7.011227
gênê	komunê	2.841302
gênê	saint	4.426265
gênê	sur	6.011227
komunê	saint	2.256340
komunê	sur	3.841302
saint	sur	5.426265
partiya	serdar	7.011227
partiya	siyasetkaro	7.011227
partiya	tırko	7.011227
partiya	wali	7.011227
serdar	siyasetkaro	7.011227
serdar	tırko	7.011227
serdar	wali	7.011227
siyasetkaro	tırko	7.011227
siyasetkaro	wali	7.011227
tırko	wali	7.011227
and	on	7.011227
and	the	6.011227
and	to	4.689299
and	you	7.011227
on	the	6.011227
on	to	4.689299
on	you	7.011227
the	to	3.689299
the	you	6.011227
to	you	4.689299
ganî	vêşêr	7.011227
ganî	ziwan	6.011227
ganî	şêro	7.011227
ganî	şêx	7.011227
vêşêr	ziwan	6.011227
vêşêr	şêro	7.011227
vêşêr	şêx	7.011227
ziwan	şêro	6.011227
ziwan	şêx	6.011227
şêro	şêx	7.011227
2012	2013	7.011227
2012	2020î	7.011227
2012	mesac	7.011227
2012	utc	7.011227
2013	2020î	7.011227
2013	mesac	7.011227
2013	utc	7.011227
2020î	mesac	7.011227
2020î	utc	7.011227
mesac	utc	7.011227
dormeyê	endustriye	7.011227
dormeyê	keyeyê	7.011227
dormeyê	sereyê	7.011227
dormeyê	wareyê	7.011227
