source	target	weight
cinîyan	ke	2.906891
cinîyan	kurdan	2.906891
cinîyan	yê	2.906891
cinîyan	zî	2.906891
ke	kurdan	3.906891
ke	yê	2.906891
ke	zî	3.906891
kurdan	yê	2.906891
kurdan	zî	3.906891
yê	zî	2.906891
ez	ma	2.906891
ez	mi	2.906891
ez	to	2.906891
ez	xo	2.906891
ma	mi	2.906891
ma	to	2.906891
ma	xo	2.906891
mi	to	2.906891
mi	xo	2.906891
to	xo	3.906891
cinîyan	hêrişê	2.906891
cinîyan	tirke	2.906891
cinîyan	vera	2.906891
hêrişê	tirke	3.906891
hêrişê	vera	3.906891
hêrişê	yê	2.906891
tirke	vera	3.906891
tirke	yê	2.906891
vera	yê	2.906891
000	amardışê	3.906891
000	hezar	3.906891
000	nefero	3.906891
000	peyêni	3.906891
amardışê	hezar	3.906891
amardışê	nefero	3.906891
amardışê	peyêni	3.906891
hezar	nefero	3.906891
hezar	peyêni	3.906891
nefero	peyêni	3.906891
diagrami	gorey	3.906891
diagrami	grafikê	3.906891
diagrami	nıfusê	3.906891
diagrami	sero	3.906891
gorey	grafikê	3.906891
gorey	nıfusê	3.906891
gorey	sero	3.906891
grafikê	nıfusê	3.906891
grafikê	sero	3.906891
nıfusê	sero	3.906891
elmanya	hunermend	3.906891
elmanya	nahiyeyê	3.906891
elmanya	sar	3.906891
elmanya	zazaki	3.906891
hunermend	nahiyeyê	3.906891
hunermend	sar	3.906891
hunermend	zazaki	3.906891
nahiyeyê	sar	3.906891
nahiyeyê	zazaki	3.906891
sar	zazaki	3.906891
biyo	de	3.906891
biyo	keşıf	3.906891
biyo	ra	3.906891
biyo	terefê	3.906891
de	keşıf	3.906891
de	ra	3.906891
de	terefê	3.906891
keşıf	ra	3.906891
keşıf	terefê	3.906891
ra	terefê	3.906891
ez	nêkenê	2.906891
ez	nêzana	2.906891
ma	nêkenê	2.906891
ma	nêzana	2.906891
mi	nêkenê	2.906891
mi	nêzana	2.906891
nêkenê	nêzana	3.906891
awe	kanalizasyoni	2.906891
awe	ratneyao	3.906891
awe	sistemê	3.906891
awe	şebekey	2.906891
kanalizasyoni	ratneyao	2.906891
kanalizasyoni	sistemê	2.906891
kanalizasyoni	şebekey	2.906891
ratneyao	sistemê	3.906891
ratneyao	şebekey	2.906891
sistemê	şebekey	2.906891
cısım	estareyanê	2.906891
cısım	katalogê	2.906891
cısım	komê	2.906891
cısım	neweyê	2.906891
estareyanê	katalogê	2.906891
estareyanê	komê	3.906891
estareyanê	neweyê	2.906891
katalogê	komê	2.906891
katalogê	neweyê	2.906891
komê	neweyê	2.906891
975	stanbul	3.906891
975	tirkî	3.906891
975	tirkîya	3.906891
975	îstanbul	3.906891
stanbul	tirkî	3.906891
stanbul	tirkîya	3.906891
stanbul	îstanbul	3.906891
tirkî	tirkîya	3.906891
tirkî	îstanbul	3.906891
tirkîya	îstanbul	3.906891
james	john	3.906891
james	philadelphia	3.906891
james	pittsburgh	3.906891
james	william	3.906891
john	philadelphia	3.906891
john	pittsburgh	3.906891
john	william	3.906891
philadelphia	pittsburgh	3.906891
philadelphia	william	3.906891
pittsburgh	william	3.906891
cısım	gêno	2.906891
cısım	pêroyi	2.906891
gêno	katalogê	2.906891
gêno	neweyê	2.906891
gêno	pêroyi	3.906891
katalogê	pêroyi	2.906891
neweyê	pêroyi	2.906891
abdullah	kurdî	3.906891
abdullah	kurdîstanî	3.906891
abdullah	rayberê	3.906891
abdullah	şarê	3.906891
kurdî	kurdîstanî	3.906891
kurdî	rayberê	3.906891
kurdî	şarê	3.906891
kurdîstanî	rayberê	3.906891
kurdîstanî	şarê	3.906891
rayberê	şarê	3.906891
anciyao	elektrik	3.906891
anciyao	internet	3.906891
anciyao	kanalizasyoni	2.906891
anciyao	şebekey	2.906891
elektrik	internet	3.906891
elektrik	kanalizasyoni	2.906891
elektrik	şebekey	2.906891
internet	kanalizasyoni	2.906891
internet	şebekey	2.906891
