doc_id,lang,source,text,text_norm,n_chars,n_tokens,page_id,title
141805-p0,kmr,wiki,"'''Bray-sur-Seine''', komuneke li departmena Seine-et-Marne ya li herêma Île-de-Franceya li bakurê navendî ya Fransayê ye.",bray sur seine komuneke li departmena seine et marne ya li herêma île de franceya li bakurê navendî ya fransayê ye,122,21,141805,Bray-sur-Seine
58436-p0,kmr,wiki,"Papa Skender VI
'''Skender VI''', ji dayikbûn: 1´ê Çila 1431- mirin: 18´ê tabaxa 1503´an, bûya. Ji sale 1492´an heta mirina xwe papatî kirîya. Di dema ronasensê de jî, ji ser taxtê xwe hizrên xwe hanîn ser ziman weke yekî zane. Bo vê yekê, ew î bû weke yekî ku pirr jî bûya mijare nîqaşan. Hizrên wî, li ser demê bandûra wan bûna.",papa skender vi skender vi ji dayikbûn 1 ê çila 1431 mirin 18 ê tabaxa 1503 an bûya ji sale 1492 an heta mirina xwe papatî kirîya di dema ronasensê de jî ji ser taxtê xwe hizrên xwe hanîn ser ziman weke yekî zane bo vê yekê ew î bû weke yekî ku pirr jî bûya mijare nîqaşan hizrên wî li ser demê bandûra wan bûna,330,66,58436,Papa Skender VI
52-p8,kmr,wiki,"Gelek peyêv bingehê xwe ji dengê ku derdixînê nav lê hatine kirin, wek: Ba, Qijok xirxirk, çirçirk, firok, Baq, xûçxûşa avê, himhima Aş........hwd.",gelek peyêv bingehê xwe ji dengê ku derdixînê nav lê hatine kirin wek ba qijok xirxirk çirçirk firok baq xûçxûşa avê himhima aş hwd,147,24,52,Ziman
123508-p3,kmr,wiki,"Her çiqas ji ber kêmbûna ba û hewaya ziwa bandor bibe jî, bahoza bi lez a 60 mph (95 km/h) û di 19ê êlonê de saet di 15:00 (UTC) de bi 994 mb (29.36 inHg) zexta xwe gihand e asta herî bilind. Lê belê piştî ku ber bi rojava ve ber bi Kendava Meksîkê ve zivirî, bahoz di cihê xwe de sekinî. Ev yek bû sedem ku zêde bibe û bandorên neyînî yên hişk û tevî ku leza bayê kêm derketina derve wek hev ma bû sedem nerêkbûna bahozê. Piştî berbiçûna li aliyê bakurê rojhilatê ve û bi navenda reformê ve ber bi rojava ve diçû, veguhastina Beta berdewam kir û ji nûve hate bi rêxistin kirin. Sîstem jiber ewrên bi hewaya sar ku li navenda wê hatine pêçandin, xirabû. Dema ku Beta nêzîkê peravên Teksasê dibe, beriya daketina erdê li Nîvgirava Matagordayê, di 22ê îlonê de saet 04.00 (UTC) bi bayê 75 km/h (45 mph) û bi zexta 999 mb (29,50 inHg) hinek qels bû. Piştî vî qelsbûnê Beta seat di 15:00 de ket rewşa depresyona tropîkal. Piştre berî ku berê xwe da aliyê rojhilat û hinekî din qels bû. NHC şêwirmendiya xwe ya dawî da û berpirsyariyên şêwirmendiyê raporên pêşerojê da Navenda Texmîna Hewayê (WPC). Piştre Beta di 23ê îlonê de saet di 03.00 (UTC) de bû sikloneke tropîkal û ber bi bakurrojhilat ve bilez kete tevgerê û bi ser Louisiana û Mississippi yê ve derbasî Alabamaya Bakur bû. Navend kêm hatiye diyarkirin û metirsiya baranê ya zêde kêm bû û pergal di 25ê îlonê de saet di 06.00'an de belav bû. Piştre WPC di heman rojê saet di 09:00 de tê raporên şêwirmendiya xwe ya dawî weşand.",her çiqas ji ber kêmbûna ba û hewaya ziwa bandor bibe jî bahoza bi lez a 60 mph 95 km h û di 19ê êlonê de saet di 15 00 utc de bi 994 mb 29 36 inhg zexta xwe gihand e asta herî bilind lê belê piştî ku ber bi rojava ve ber bi kendava meksîkê ve zivirî bahoz di cihê xwe de sekinî ev yek bû sedem ku zêde bibe û bandorên neyînî yên hişk û tevî ku leza bayê kêm derketina derve wek hev ma bû sedem nerêkbûna bahozê piştî berbiçûna li aliyê bakurê rojhilatê ve û bi navenda reformê ve ber bi rojava ve diçû veguhastina beta berdewam kir û ji nûve hate bi rêxistin kirin sîstem jiber ewrên bi hewaya sar ku li navenda wê hatine pêçandin xirabû dema ku beta nêzîkê peravên teksasê dibe beriya daketina erdê li nîvgirava matagordayê di 22ê îlonê de saet 04 00 utc bi bayê 75 km h 45 mph û bi zexta 999 mb 29 50 inhg hinek qels bû piştî vî qelsbûnê beta seat di 15 00 de ket rewşa depresyona tropîkal piştre berî ku berê xwe da aliyê rojhilat û hinekî din qels bû nhc şêwirmendiya xwe ya dawî da û berpirsyariyên şêwirmendiyê raporên pêşerojê da navenda texmîna hewayê wpc piştre beta di 23ê îlonê de saet di 03 00 utc de bû sikloneke tropîkal û ber bi bakurrojhilat ve bilez kete tevgerê û bi ser louisiana û mississippi yê ve derbasî alabamaya bakur bû navend kêm hatiye diyarkirin û metirsiya baranê ya zêde kêm bû û pergal di 25ê îlonê de saet di 06 00 an de belav bû piştre wpc di heman rojê saet di 09 00 de tê raporên şêwirmendiya xwe ya dawî weşand,1482,291,123508,Bahoza tropîkal a Beta 2020
64988-p2,kmr,wiki,"Kategorî:Erdîş
Kategorî:Kovarên kurdî",kategorî erdîş kategorî kovarên kurdî,37,5,64988,Dengê Zîlanê (kovar)
137350-p1,kmr,wiki,Şahê ciwaniyê yê cîhanê yê herî dawî endezyarê hewafezayî yê brîtanî Jack Heslewood e yê ku di 23ê tebaxa 2019an de li Manîla (Filîpîn) bi nişana ciwaniyê Mister World hate xelatkirin û taca xwe bir.,şahê ciwaniyê yê cîhanê yê herî dawî endezyarê hewafezayî yê brîtanî jack heslewood e yê ku di 23ê tebaxa 2019an de li manîla filîpîn bi nişana ciwaniyê mister world hate xelatkirin û taca xwe bir,199,35,137350,Mister World
90071-p7,kmr,wiki,"Kategorî:Jidayikbûn 1991
Kategorî:Mêr
Kategorî:Mirovên zindî",kategorî jidayikbûn 1991 kategorî mêr kategorî mirovên zindî,60,8,90071,Jacques Zoua
130595-p5,kmr,wiki,"Girêdanên Guhaztina Lezgîn
 Xeta Kanadayê (şînê ezmanî) wekî beşek ji pergala derbasbûnê ya Metro Vancouver di 2016 de",girêdanên guhaztina lezgîn xeta kanadayê şînê ezmanî wekî beşek ji pergala derbasbûnê ya metro vancouver di 2016 de,118,18,130595,Xeta Kanadayê
126215-p0,kmr,wiki,"'''Carville-Pot-de-Fer''', komuneke departmena Seine-Maritime ya li herêma Normandiyayê ye ku li bakurê Fransayê ye.",carville pot de fer komuneke departmena seine maritime ya li herêma normandiyayê ye ku li bakurê fransayê ye,116,18,126215,Carville-Pot-de-Fer
262870-p0,kmr,wiki,"'''Ripatransone''' komun û şaredariyeke parêzgeha Ascoli Piceno ya li herêma Markeyê ye ku li Îtalyaya navendî ye. 
Nifûs",ripatransone komun û şaredariyeke parêzgeha ascoli piceno ya li herêma markeyê ye ku li îtalyaya navendî ye nifûs,121,18,262870,Ripatransone
