doc_id,lang,source,text,text_norm,n_chars,n_tokens,page_id,title
4208429-p0,tr,wiki,"'''''Pseudomethoca peremptrix''''', ''Pseudomethoca'' cinsine bağlı bir böcek türüdür.",pseudomethoca peremptrix pseudomethoca cinsine bağlı bir böcek türüdür,86,8,4208429,Pseudomethoca peremptrix
1819138-p4,tr,wiki,"Dış bağlantılar
*BBC resmi web sitesi 'nde ""Carnival of Monsters"" 
*Outpost Gallifrey incelemesi
*shannonsullivan.com sitesinde ""Carnival of Monsters"" 
*drwhoguide.com sitesinde ""Carnival of Monsters""",dış bağlantılar bbc resmi web sitesi nde carnival of monsters outpost gallifrey incelemesi shannonsullivan com sitesinde carnival of monsters drwhoguide com sitesinde carnival of monsters,200,25,1819138,Carnival of Monsters
188271-p9,tr,wiki,"* Genç kedilerde erken körlüğe neden olan otozomal resesif bozukluk 
* Entropian (göz kapaklarının yuvarlanması)
* Koronavirüs enfeksiyonundan kaynaklanan ölümcül bir hastalık olan kedi enfeksiyöz peritoniti",genç kedilerde erken körlüğe neden olan otozomal resesif bozukluk entropian göz kapaklarının yuvarlanması koronavirüs enfeksiyonundan kaynaklanan ölümcül bir hastalık olan kedi enfeksiyöz peritoniti,207,23,188271,Bengal kedisi
1914693-p0,tr,wiki,"'''Nanterre''', Fransa'nın Hauts-de-Seine departmanının ve Nanterre arroindisementinin merkezi olan şehirdir. Yüzölçümü 12.19&nbsp;km² şehrin nüfusu 2006 yılı itibarı ile 90,903'tür. Nanterre Paris'in 11.1&nbsp;km kuzey batısında yer almaktadır.",nanterre fransa nın hauts de seine departmanının ve nanterre arroindisementinin merkezi olan şehirdir yüzölçümü 12 19 nbsp km² şehrin nüfusu 2006 yılı itibarı ile 90 903 tür nanterre paris in 11 1 nbsp km kuzey batısında yer almaktadır,245,38,1914693,Nanterre
31211-p15,tr,wiki,"Yeni Kaledonya kendi içerisinde üç ile, bu iller de yine kendi içerisinde 33 ilçeye ayrılmış konumdadır. Adanın üç ili şu şekildedir:",yeni kaledonya kendi içerisinde üç ile bu iller de yine kendi içerisinde 33 ilçeye ayrılmış konumdadır adanın üç ili şu şekildedir,133,21,31211,Yeni Kaledonya
3314851-p2,tr,wiki,"Bu filmdeki rolüyle Vincent Gardenia, En İyi Yardımcı Erkek Oyuncu dalında Akademi Ödülü aday gösterildi. Timeout dergisi, tüm zamanların en iyi 12. beyzbol filmi seçti.",bu filmdeki rolüyle vincent gardenia en i yi yardımcı erkek oyuncu dalında akademi ödülü aday gösterildi timeout dergisi tüm zamanların en iyi 12 beyzbol filmi seçti,169,26,3314851,Bang the Drum Slowly (film)
3165159-p3,tr,wiki,"İlerlemenin ilk haftasında, Ağustos 1941'in ortalarında, Rumen kuvvetleri, Odessa çevresindeki küçük bir alan dışında tüm bölgeyi savaşmadan ele geçirdi. O zaman, Rumenlerin şehri 34.000 savunucusundan fethetmek için 60.000 askeri vardı. Ancak organizasyon o kadar zayıftı ve komuta o kadar yüzeyseldi ki saldırı askeri bir gafla sonuçlandı. Bu başarıdan yararlanan Sovyetler, şehrin deniz yoluyla tahliyesini durdurdu ve bunun yerine takviye göndererek Sovyet kuvvetlerinin gücünü 100.000'e çıkardı. Rumenler de kendi sayılarını ikiye katlamak zorunda kaldılar. Ara sıra, ön hatların bazı küçük bölümlerinde, düşük ve orta rütbeli Rumen subayları açık başarılar gösterse de, kuşatmanın genel organizasyonu Rumenler için felaket oldu ve daha sonra birkaç general görevden alındı. Sonunda, iki aylık kuşatmadan sonra, Rumen ordusu 92.545 kayıp pahasına şehrin kontrolünü ele geçirdi. Sadece Stalingrad Muharebesi'nde Rumen kayıpları daha yüksekti, ancak o zaman Rumenler sayısal ve teknik olarak üstün bir düşmanla karşı karşıya kalacaklardı. Sovyetler sonunda şehri terk etseler de, daha büyük bir düşman kuvvetini daha küçük bir kuvvetle bloke edebildiler ve saldırganlara önemli kayıplar verdirdiler. Bu sonuç özellikle önemliydi, çünkü Sovyet Yüksek Komutanlığı başlangıçta şehrin terk edilmesini emretmişti. Savaşın sonunda Odessa, ''Kahraman şehir'' unvanını aldı.",i lerlemenin ilk haftasında ağustos 1941 in ortalarında rumen kuvvetleri odessa çevresindeki küçük bir alan dışında tüm bölgeyi savaşmadan ele geçirdi o zaman rumenlerin şehri 34 000 savunucusundan fethetmek için 60 000 askeri vardı ancak organizasyon o kadar zayıftı ve komuta o kadar yüzeyseldi ki saldırı askeri bir gafla sonuçlandı bu başarıdan yararlanan sovyetler şehrin deniz yoluyla tahliyesini durdurdu ve bunun yerine takviye göndererek sovyet kuvvetlerinin gücünü 100 000 e çıkardı rumenler de kendi sayılarını ikiye katlamak zorunda kaldılar ara sıra ön hatların bazı küçük bölümlerinde düşük ve orta rütbeli rumen subayları açık başarılar gösterse de kuşatmanın genel organizasyonu rumenler için felaket oldu ve daha sonra birkaç general görevden alındı sonunda iki aylık kuşatmadan sonra rumen ordusu 92 545 kayıp pahasına şehrin kontrolünü ele geçirdi sadece stalingrad muharebesi nde rumen kayıpları daha yüksekti ancak o zaman rumenler sayısal ve teknik olarak üstün bir düşmanla karşı karşıya kalacaklardı sovyetler sonunda şehri terk etseler de daha büyük bir düşman kuvvetini daha küçük bir kuvvetle bloke edebildiler ve saldırganlara önemli kayıplar verdirdiler bu sonuç özellikle önemliydi çünkü sovyet yüksek komutanlığı başlangıçta şehrin terk edilmesini emretmişti savaşın sonunda odessa kahraman şehir unvanını aldı,1369,189,3165159,Transdinyester Valiliği
140050-p6,tr,wiki,"* Boynuzotları web portali 
* Boynuzotları biyolojisi 
* Anthocerotophyta-UCMP 
* Amerika ve Kanada'daki Boynuzotları türleri
* Yeni Zelanda Anthocerotae",boynuzotları web portali boynuzotları biyolojisi anthocerotophyta ucmp amerika ve kanada daki boynuzotları türleri yeni zelanda anthocerotae,153,16,140050,Boynuz otları
477964-p1,tr,wiki,"# Matematiksel olarak yapılan çalışmalar mantıksal cebirde yapılmamıştır.
# Bu yüzden mantıksal cebirde sayısal değerler gösterilmez, genellikle harf kullanılır.",matematiksel olarak yapılan çalışmalar mantıksal cebirde yapılmamıştır bu yüzden mantıksal cebirde sayısal değerler gösterilmez genellikle harf kullanılır,161,17,477964,Mantıksal Cebir
1625535-p3,tr,wiki,"Resepsiyon
;Kritik yanıt
Film ağırlıklı olarak olumsuz yorumlar aldı. Rotten Tomatoes eleştirmenleri %19 üzerinden 140 yoruma göre olumlu eleştiriler verdi. Metacritic'in 27 yoruma göre filme 100/36 onay puanı verdi.",resepsiyon kritik yanıt film ağırlıklı olarak olumsuz yorumlar aldı rotten tomatoes eleştirmenleri 19 üzerinden 140 yoruma göre olumlu eleştiriler verdi metacritic in 27 yoruma göre filme 100 36 onay puanı verdi,216,31,1625535,Orijinal Cinayetler (film)
