doc_id,lang,source,text,text_norm,n_chars,n_tokens,page_id,title
97070-p0,zza,wiki,"'''Andriya''' (be İtalyanki: ''Andria''), yew sûka dewleta İtalyaya.",andriya be i talyanki andria yew sûka dewleta i talyaya,68,10,97070.0,Andriya
63999-p0,zza,wiki,'''Salisbury''' yew sûka dewleta Qraliya Yewbiyayiya.,salisbury yew sûka dewleta qraliya yewbiyayiya,53,6,63999.0,Salisbury
73932-p6,zza,wiki,"Kategoriye:Darmstadt 
Kategoriye:Sûkê Almanya",kategoriye darmstadt kategoriye sûkê almanya,45,5,73932.0,Darmstadt
41429-p4,zza,wiki,"""To be sure, Wikipedia's egalitarian mantra that ""anyone can edit"" is a huge draw, across cultures. Few are the people who have even heard of all the languages that now have a Wikipedia (Zazaki, Voro, Pangasinan, Udmurt and Shqip, to name a few).""",to be sure wikipedia s egalitarian mantra that anyone can edit is a huge draw across cultures few are the people who have even heard of all the languages that now have a wikipedia zazaki voro pangasinan udmurt and shqip to name a few,247,44,41429.0,Wikipediya:Embassy/Arşiv 1
49005-p0,zza,wiki,"'''Galisyaki''' ya zi '''Galiçyaki''' İspanya de mıntıqaya Galiçya de qal beno. Zıwanê xo de namê cı ''Galego''yo. No zıwan Portekizki ra zaf nezdiyo, rıçıkê xo Latinkiyo û kulturê Kelti de resayo. Zıwan miyan de çekuyê Erebki zi estê",galisyaki ya zi galiçyaki i spanya de mıntıqaya galiçya de qal beno zıwanê xo de namê cı galego yo no zıwan portekizki ra zaf nezdiyo rıçıkê xo latinkiyo û kulturê kelti de resayo zıwan miyan de çekuyê erebki zi estê,234,40,49005.0,Galisyaki
75759-p0,zza,wiki,"'''NGC 5372''', yew cısmê asmêniyo. No cısım Katalogê Neweyê Pêroyi de, komê estareyanê miyan de ca gêno. de terefê i ra keşıf biyo.",ngc 5372 yew cısmê asmêniyo no cısım katalogê neweyê pêroyi de komê estareyanê miyan de ca gêno de terefê i ra keşıf biyo,132,23,75759.0,NGC 5372
60699-p5,zza,wiki,"Resayış
Tellioğlu de xeta ceyran u têlefoni esta. Raya dewe asfalta.",resayış tellioğlu de xeta ceyran u têlefoni esta raya dewe asfalta,68,11,60699.0,"Tellioğlu, Devrek"
92617-p0,zza,wiki,"'''Leo VI''', yew Papay Xristiyananê katolikano. Reyna serdarê dewleta Vatikani biyo.",leo vi yew papay xristiyananê katolikano reyna serdarê dewleta vatikani biyo,85,11,92617.0,Leo VI (papa)
67528-p0,zza,wiki,"'''NGC 2001''', yew cısmê asmêniyo. No cısım Katalogê Neweyê Pêroyi de ca gêno.",ngc 2001 yew cısmê asmêniyo no cısım katalogê neweyê pêroyi de ca gêno,79,13,67528.0,NGC 2001
88159-p3,zza,wiki,"Nıfus
Grafikê diyagrami sero gorey serran ra nıfusê A Pobra de Trivesi;",nıfus grafikê diyagrami sero gorey serran ra nıfusê a pobra de trivesi,71,12,88159.0,A Pobra de Trives
11662-p0,zza,wiki,"'''Biyocoğrafya''', zanışiya ke cınsê rewekan û heywanan sero geyrena cı. Naye rê biyolociye, botanik, zoolociye û tıb desteg benê. No lızge bınê coğrafyaya fizikiye de yew madeyo.",biyocoğrafya zanışiya ke cınsê rewekan û heywanan sero geyrena cı naye rê biyolociye botanik zoolociye û tıb desteg benê no lızge bınê coğrafyaya fizikiye de yew madeyo,180,27,11662.0,Biyocoğrafya
35580-p1,zza,wiki,"Etimolociye
Zêde çımeya gore namey Edene İmperatoriya Hititan de Qıraliya Kizzuvatna de ''Adanya URU''ravêreno. Eserê Homerosi İlyaday de Adana ravêreno. Dewrê Helenistiki de Kilikya Antiohya ( Yunanki: Ἀντιόχεια τῆς Κιλικίας) ya zi Antiochia ad Sarum (Yunanki: Ἀντιόχεια ἡ πρὸς Σάρον; ""Sarus sero Antiohya"") zi zaniyena. Sûke zıwanê Ermenki de Ատանա Atana ya zi Ադանա Adana'ya. Yew efsaneyê kehani de 
Çımey namey sûke, Royê Seyhani kışta Edene vıraşto dı lacê Uranusi Adanus u Sarus ra yeno. Tay zi vanê waliy Harun Reşid Ebu Süleym Edeni ra yeno.",etimolociye zêde çımeya gore namey edene i mperatoriya hititan de qıraliya kizzuvatna de adanya uru ravêreno eserê homerosi i lyaday de adana ravêreno dewrê helenistiki de kilikya antiohya yunanki ἀντιόχεια τῆς κιλικίας ya zi antiochia ad sarum yunanki ἀντιόχεια ἡ πρὸς σάρον sarus sero antiohya zi zaniyena sûke zıwanê ermenki de ատանա atana ya zi ադանա adana ya yew efsaneyê kehani de çımey namey sûke royê seyhani kışta edene vıraşto dı lacê uranusi adanus u sarus ra yeno tay zi vanê waliy harun reşid ebu süleym edeni ra yeno,549,89,35580.0,Edene
46602-p6,zza,wiki,"Bıvênên
* Beyannameyê heqanê merdumanê erd u asmêni
* Heqê cêniyan
* Heqê LGBTi
* Heqê qıcan (Heqê domanan)",bıvênên beyannameyê heqanê merdumanê erd u asmêni heqê cêniyan heqê lgbti heqê qıcan heqê domanan,107,15,46602.0,Heqê merduman
77412-p2,zza,wiki,"Kategoriye:Delson, Quebec
Kategoriye:Sûkê Kanada",kategoriye delson quebec kategoriye sûkê kanada,48,6,77412.0,"Delson, Quebec"
89257-p3,zza,wiki,"Nıfus
Grafikê diagrami sero gorey seran ra nıfusê Burcy;",nıfus grafikê diagrami sero gorey seran ra nıfusê burcy,56,9,89257.0,"Burcy, Seine-et-Marne"
86110-p5,zza,wiki,"Kategoriye:Azelot
Kategoriye:Komunê Meurthe-et-Moselley",kategoriye azelot kategoriye komunê meurthe et moselley,55,7,86110.0,Azelot
73698-p0,zza,wiki,'''Subaşı''' wılayetê Edirne de yew dewa qezay Meriçiya.,subaşı wılayetê edirne de yew dewa qezay meriçiya,56,8,73698.0,"Subaşı, Meriç"
19969-p1,zza,wiki,"Kategoriye:İmperatorê Roma
Kategoriye:Domitii",kategoriye i mperatorê roma kategoriye domitii,45,6,19969.0,Aurelianus
